ジャンル名,実売上xジャンル別係数
食品>調味料>スパイス>唐辛子>その他,5899000
食品>精肉・肉加工品>馬肉>霜降り,3883000
食品>パン・ジャム・シリアル>シリアル>ミューズリー,2653000
食品>調味料>しょうゆ>減塩しょうゆ,1819000
食品>野菜・きのこ>きのこ>しいたけ,2319000
食品>魚介類・水産加工品>海藻類>海ぶどう,1560000
食品>調味料>ミックススパイス・混合調味料>柚子胡椒,1747000
食品>魚介類・水産加工品>魚卵>数の子>味付け数の子,1330000
食品>調味料>ふりかけ>おかか,2581000
食品>魚介類・水産加工品>その他水産物>クエ,700000
食品>魚介類・水産加工品>その他水産物>カレイ,1555000
食品>精肉・肉加工品>豚肉>モモ,10828000
食品>チーズ・乳製品>ヨーグルト>ギリシャヨーグルト,3223000
食品>精肉・肉加工品>馬肉>レバー,2445000
食品>漬物・梅干し・キムチ>梅干し>ねり梅,2539000
食品>フルーツ・果物>グレープフルーツ,1246000
食品>調味料>スパイス>唐辛子>一味唐辛子,3596000
食品>粉類>お好み焼・たこ焼き粉,1485000
食品>調味料>ソース・たれ>お好み焼きソース,1397000
食品>パン・ジャム・シリアル>パン>ロールパン,3801000
食品>精肉・肉加工品>加工品>ソーセージ>あらびき,2253000
食品>調味料>砂糖・甘味料>上白糖,1612000
食品>野菜・きのこ>その他野菜>菊芋,2007000
食品>フルーツ・果物>プラム,1614000
食品>精肉・肉加工品>馬肉>その他,2065000
食品>粉類>片栗粉,1807000
食品>豆腐・納豆・こんにゃく>豆腐>油揚げ,2186000
食品>惣菜>中華惣菜・点心>角煮,1699000
食品>調味料>しょうゆ>再仕込みしょうゆ,1309000
食品>野菜・きのこ>ごぼう,1559000
食品>精肉・肉加工品>豚肉>豚足,1139000
食品>野菜・きのこ>その他野菜>ブロッコリー,2391000
食品>調味料>スパイス>唐辛子>七味唐辛子,3298000
食品>魚介類・水産加工品>魚卵>イクラ・筋子>塩イクラ,715000
食品>練り物>その他,1158000
食品>調味料>ふりかけ>しそ,1747000
食品>調味料>スパイス>唐辛子>島とうがらし,633000
食品>パン・ジャム・シリアル>シリアル>コーンフレーク,1611000
食品>精肉・肉加工品>加工品>ソーセージ>生ソーセージ,1815000
食品>惣菜>和風惣菜>おでん,1458000
食品>惣菜>和風惣菜>丼>親子丼,1991000
食品>調味料>セット・詰め合わせ,42496000
食品>魚介類・水産加工品>加工品>くさや,786000
食品>野菜・きのこ>豆類>えんどう,1349000
食品>調味料>その他,29263000
食品>魚介類・水産加工品>その他水産物>ノドグロ,883000
食品>調味料>酢>穀物酢,1067000
食品>フルーツ・果物>アボカド,1168000
食品>野菜・きのこ>豆類>インゲンマメ,1230000
食品>調味料>マヨネーズ,6654000
食品>惣菜>洋風惣菜>とんかつ>その他,2513000
食品>豆腐・納豆・こんにゃく>納豆>ひきわり納豆,1389000
食品>チーズ・乳製品>チーズ>ハード>その他,1312000
食品>惣菜>おせちセット>和風おせちセット,163000
食品>野菜・きのこ>かぼちゃ,2128000
食品>パン・ジャム・シリアル>ジャム・はちみつ>ミルククリーム,1566000
食品>調味料>アジアン・エスニック調味料>魚醤・ナンプラー,1130000
食品>惣菜>和風惣菜>天ぷら,1559000
食品>調味料>油>グレープシードオイル,2276000
食品>チーズ・乳製品>チーズ>セミハード>ラクレット,1098000
食品>パン・ジャム・シリアル>パン>菓子パン>あんパン,1058000
食品>豆腐・納豆・こんにゃく>豆腐>おから,2286000
食品>フルーツ・果物>ゆず,791000
食品>パン・ジャム・シリアル>ジャム・はちみつ>コンポート,1027000
食品>米・雑穀>雑穀・雑穀米>きび,1270000
食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー>巣蜜・コムハニー,1563000
食品>漬物・梅干し・キムチ>漬物>かす漬け,1542000
食品>調味料>ドレッシング>イタリアンドレッシング,1070000
食品>チーズ・乳製品>チーズ>セミハード>ゴーダ,5758000
食品>調味料>ソース・たれ>とんかつソース,923000
食品>調味料>めんつゆ,20623000
食品>調味料>からし・マスタード>粒,1156000
食品>魚介類・水産加工品>その他水産物>アユ,841000
食品>豆腐・納豆・こんにゃく>納豆>大粒納豆,986000
食品>調味料>油>コーン油,970000
食品>調味料>ソース・たれ>中濃ソース,968000
食品>チーズ・乳製品>ヨーグルト>低脂肪ヨーグルト,880000
食品>調味料>ソース・たれ>オイスターソース,1615000
食品>野菜・きのこ>豆類>ひよこ豆,1415000
食品>野菜・きのこ>水煮野菜,1206000
食品>精肉・肉加工品>鶏肉>軟骨,1503000
食品>チーズ・乳製品>ヨーグルト>カスピ海ヨーグルト,1506000
食品>フルーツ・果物>パパイヤ,781000
食品>魚介類・水産加工品>貝類>サザエ,847000
食品>惣菜>鍋セット>すき焼き,767000
食品>野菜・きのこ>きのこ>トリュフ,845000
